"","LAT","LON","SPEED","COURSE","HEADING","DESTINATION","FLAG","LENGTH","SHIPNAME","SHIPTYPE","SHIP_ID","WIDTH","DWT","DATETIME","PORT","date","week_nb","ship_type","port","is_parked"
"2326932",59.90893,30.22413,0,0,511,"CLASS B","RU",30,"TORNADO",3,346208,10,NA,"2016-12-14T01:33:03Z","st_petersburg","2016-12-14",50,"Tug","St. Petersburg",1
"2694263",59.91254,30.24188,0,0,511,"SANKT PETERSBURG","RU",73,"KAPITAN ZARUBIN",3,350708,16,262,"2016-12-20T01:11:03Z","st_petersburg","2016-12-20",51,"Tug","St. Petersburg",1
"823298",57.67095,11.84943,0,278,511,"CLASS B","GB",19,"CELESTE OF SOLENT",9,190564,5,NA,"2016-12-17T06:41:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"790951",57.70621,11.65903,0,343,128,"OCKERO","SE",56,"FRANKLIN",3,182358,12,1218,"2016-12-16T18:49:05Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"1584739",57.77259,11.62053,0,0,511,"CLASS B","SE",7,"ENSKAR",2,1442009,2,NA,"2016-12-14T22:25:06Z","gothenborg","2016-12-14",50,"Fishing","gothenborg",1
"1970616",55.71547,21.11418,0,102,327,"KLAIPEDA","AG",79,"HELGA",7,359267,10,2086,"2016-12-13T17:19:07Z","klaipeda","2016-12-13",50,"Cargo","Klaipeda",1
"1455160",57.64094,11.95984,0,0,511,"CLASS B","SE",60,"WWW.SSBILBEHOR.SE",9,326697,25,NA,"2016-12-17T02:37:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"2920861",59.87127,30.20696,0,154,315,"ST.PETERSBURG V KIEL","LR",169,"BARMBEK",7,758658,27,15956,"2016-12-16T06:05:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"2185947",59.88316,30.16493,0,35,314,"SKAGEN FO","MT",182,"BALTIC FROST",8,301875,27,37100,"2016-12-18T17:59:04Z","st_petersburg","2016-12-18",51,"Tanker","St. Petersburg",1
"3060658",59.88417,30.2298,1,0,511,"CLASS B","RU",37,"RONDO",8,3811364,8,NA,"2016-12-18T14:19:04Z","st_petersburg","2016-12-18",51,"Tanker","St. Petersburg",1
"1493134",57.77314,11.61733,0,48,139,NA,"SE",19,"SVANEN",2,326954,6,0,"2016-12-16T20:47:05Z","gothenborg","2016-12-16",51,"Fishing","gothenborg",1
"1593812",57.72009,11.97629,0,3,511,"GOTEBORG  C","SE",20,"FROG TAURUS",3,2312999,6,NA,"2016-12-16T00:11:08Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"705686",54.61354,18.78919,0,185,112,"SAR ON DUTY","PL",36,"SZTORM",3,3434504,8,70,"2016-12-19T22:49:23Z","gdynia","2016-12-19",51,"Tug","Gdynia",1
"2574120",59.91138,30.22763,0,0,10,"SPB","RU",65,"NEVA LUX",8,349961,10,1256,"2016-12-20T06:25:05Z","st_petersburg","2016-12-20",51,"Tanker","St. Petersburg",1
"2769916",59.8784,30.19807,0,0,324,"SPB","RU",111,"MUDYUG",3,351699,22,2920,"2016-12-18T07:39:04Z","st_petersburg","2016-12-18",51,"Tug","St. Petersburg",1
"366964",54.39877,18.67878,0,244,511,"CLASS B","PL",11,"PIORUN",9,3900094,4,NA,"2016-12-19T12:33:02Z","gdansk","2016-12-19",51,"Pleasure","Gdańsk",1
"2168938",59.91457,30.24985,0,237,266,"SAINT PETERSBURG","MT",173,"ATLANTIC RUNNER",7,284882,23,18731,"2016-12-16T19:57:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"961664",57.69351,11.91336,0,334,133,NA,"SE",21,"HAMNEN",6,320546,6,NA,"2016-12-15T23:35:08Z","gothenborg","2016-12-15",50,"Passenger","gothenborg",1
"331307",54.53393,18.66382,0,0,511,NA,"PL",2,"BY GD",1,850644,2,NA,"2016-12-16T21:19:02Z","gdansk","2016-12-16",51,"Navigation","Gdańsk",1
"1606372",57.66601,11.79463,8,163,166,"LIDKOPING","NL",82,"ASPEN",7,3350779,12,3159,"2016-12-16T06:55:05Z","gothenborg","2016-12-16",51,"Cargo","gothenborg",0
"1036268",57.77213,11.61885,0,89,47,"3:E MAN","SE",16,"RESCUE MARTA COLLIN",3,321341,5,NA,"2016-12-13T22:45:05Z","gothenborg","2016-12-13",50,"Tug","gothenborg",1
"2393749",59.88013,30.18739,0,0,136,"SPB","RU",92,"VALERIY ZELENKO",8,347165,14,3514,"2016-12-19T17:09:03Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"2927678",59.8778,30.21639,0,0,0,NA,"RU",3,"ST.-PETERSBURG PT LE",1,851186,3,NA,"2016-12-14T22:07:04Z","st_petersburg","2016-12-14",50,"Navigation","St. Petersburg",1
"2127321",59.88101,30.23196,0,0,94,"ST.PETERSBURG","CY",89,"FRI PORSGRUNN",7,204772,13,3792,"2016-12-16T11:47:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"1595016",57.72006,11.97631,0,27,511,"GOTEBORG  C","SE",20,"FROG TAURUS",3,2312999,6,NA,"2016-12-16T20:25:05Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"100090",54.35755,18.70439,0,340,511,"GDANSK-HEL-GDANSK","PL",37,"RUBIN",6,315695,11,81,"2016-12-13T14:31:02Z","gdansk","2016-12-13",50,"Passenger","Gdańsk",1
"2542675",59.91081,30.225,0,295,200,"ST-PETERSBURG KSZ 3","RU",129,"VIKING INGVAR",6,349456,17,NA,"2016-12-16T10:09:05Z","st_petersburg","2016-12-16",51,"Passenger","St. Petersburg",1
"227735",54.39945,18.69723,0,294,248,"REDA GDANSK","PL",31,"VIRTUS",3,317353,11,100,"2016-12-13T11:47:02Z","gdansk","2016-12-13",50,"Tug","Gdańsk",1
"1390875",57.71066,11.95076,0,45,511,"CLASS B","SE",15,"GREAT ESCAPE",9,326054,4,NA,"2016-12-16T09:19:05Z","gothenborg","2016-12-16",51,"Pleasure","gothenborg",1
"1270064",57.70625,11.94334,0,0,511,"CLASS B","SE",16,"YANIKI IV",9,323838,5,NA,"2016-12-18T02:11:08Z","gothenborg","2016-12-18",51,"Pleasure","gothenborg",1
"1451561",57.64095,11.95981,0,0,511,"CLASS B","SE",60,"WWW.SSBILBEHOR.SE",9,326697,25,NA,"2016-12-14T14:21:06Z","gothenborg","2016-12-14",50,"Pleasure","gothenborg",1
"2475515",59.9135,30.22767,26,205,197,"SPB","RU",80,"FLANDRIYA",8,348139,14,2800,"2016-12-14T19:55:03Z","st_petersburg","2016-12-14",50,"Tanker","St. Petersburg",0
"2248595",59.86553,30.22851,0,342,511,"SANKT-PETERBURG","RU",132,"TAYMEN",8,345788,17,NA,"2016-12-16T18:51:03Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"3098670",59.94121,30.25623,0,258,511,"CLASS B","SO",1000,"BLACKPEARL 7.4V",0,4666609,100,NA,"2016-12-20T01:29:03Z","st_petersburg","2016-12-20",51,"Unspecified","St. Petersburg",1
"1854790",54.69202,20.19613,0,0,511,"SVETLIY","RU",22,"OLEG STRASHNOV",3,878185,8,65,"2016-12-15T09:23:03Z","kalingrad","2016-12-15",50,"Tug","Kalingrad",1
"2981359",59.88117,30.22833,0,0,96,"KR#-PETESBURG","RU",60,"KEILA",8,2420192,10,1621,"2016-12-16T06:45:03Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"1577404",57.71099,11.6586,0,0,511,"CLASS B","SE",30,"POLSTJERNAN",6,1104090,7,0,"2016-12-20T00:07:05Z","gothenborg","2016-12-20",51,"Passenger","gothenborg",1
"1178843",57.69104,11.89186,0,0,20,"CLASS B","SE",15,"SAXKRAN NR 2",9,322861,7,NA,"2016-12-17T15:41:08Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"2031730",55.72216,21.10383,0,151,128,"LT KLJ VIA NOK","IT",136,"ACQUAMARINA",8,1247749,20,12004,"2016-12-16T02:03:07Z","klaipeda","2016-12-16",51,"Tanker","Klaipeda",1
"1992160",55.70912,21.12077,1,196,511,"KLAIPEDA","KN",54,"AMATHUS",7,403087,9,510,"2016-12-15T20:23:06Z","klaipeda","2016-12-15",50,"Cargo","Klaipeda",1
"2128408",59.88182,30.2253,0,358,71,"ST.PETERSBURG","CY",89,"FRI PORSGRUNN",7,204772,13,3792,"2016-12-17T06:01:05Z","st_petersburg","2016-12-17",51,"Cargo","St. Petersburg",1
"2939436",59.91215,30.24515,0,301,511,"ST PETERSBURG","RU",35,"SVIR",3,987831,8,455,"2016-12-16T13:19:03Z","st_petersburg","2016-12-16",51,"Tug","St. Petersburg",1
"542192",54.51797,18.55003,0,290,511,"CLASS B","PL",12,"WYSPA SZCZESCIA",9,316482,4,NA,"2016-12-18T06:51:06Z","gdynia","2016-12-18",51,"Pleasure","Gdynia",1
"189570",54.60116,18.80342,1,182,511,"CLASS B","PL",21,"WLA-67",2,316236,6,NA,"2016-12-17T20:51:02Z","gdansk","2016-12-17",51,"Fishing","Gdańsk",1
"1728539",57.72103,11.97591,0,336,511,"CLASS B","SE",15,"ANNABELLA",9,4450061,4,NA,"2016-12-18T17:43:07Z","gothenborg","2016-12-18",51,"Pleasure","gothenborg",1
"2908001",59.87833,30.19063,0,342,316,"ST PETERSBURG","LR",179,"INA LOTTE",7,758523,29,38267,"2016-12-16T06:07:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"1968250",55.66437,21.14905,0,237,73,"KLAIPEDA","LT",24,"LOTAS",3,353637,6,NA,"2016-12-19T20:55:06Z","klaipeda","2016-12-19",51,"Tug","Klaipeda",1
"272488",54.44265,18.66681,93,220,220,"GDA-NYN-GDA","BS",163,"M/F WAWEL",6,376082,27,3501,"2016-12-15T10:05:02Z","gdansk","2016-12-15",50,"Passenger","Gdańsk",0
"2782943",59.88099,30.23177,0,89,96,"ST.PETERSBURG","LV",89,"OSTEREMS",7,359922,13,3714,"2016-12-19T12:37:04Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"1475719",57.68839,11.85569,0,326,511,"CLASS B","SE",0,"K10",3,326735,0,NA,"2016-12-17T09:47:06Z","gothenborg","2016-12-17",51,"Tug","gothenborg",1
"2799981",59.91376,30.22975,0,0,82,"RULED","BS",158,"AUTUMN WAVE",7,369043,24,13981,"2016-12-16T01:53:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"2829995",59.87841,30.1907,0,341,319,"SAN PETERSBURG","CL",178,"ALMENDRO",7,463311,28,32662,"2016-12-19T07:45:05Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"1335372",57.77288,11.61641,0,0,511,"CLASS B","SE",12,"GG292 MARTINA",2,324760,4,NA,"2016-12-19T04:27:05Z","gothenborg","2016-12-19",51,"Fishing","gothenborg",1
"2903792",59.89597,30.22328,0,326,214,"ST.PETERSBURG","MT",192,"ATLANTIC NAVIGATORII",7,758443,27,30345,"2016-12-19T02:15:04Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"1203865",57.66655,11.84834,0,0,511,"CLASS B","SE",16,"OM II AF GOTEBORG",9,323000,4,NA,"2016-12-17T20:49:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"455452",54.52382,18.54965,1,10,511,"CLASS B","PL",16,"PILOT-3",3,315703,5,NA,"2016-12-15T12:13:07Z","gdynia","2016-12-15",50,"Tug","Gdynia",1
"1549221",57.68833,11.85615,0,42,269,"SEHEL","PA",207,"NEWYORKER",7,420754,30,32299,"2016-12-19T19:53:05Z","gothenborg","2016-12-19",51,"Cargo","gothenborg",1
"2076494",59.8895,30.21217,0,271,36,"ST.PETERSBURG","CY",101,"BF CARTAGENA",7,121733,18,5218,"2016-12-15T05:01:04Z","st_petersburg","2016-12-15",50,"Cargo","St. Petersburg",1
"1361556",57.71115,11.94925,0,216,199,"CLASS B","SE",19,"BLUE ADVENTURE",9,325070,5,NA,"2016-12-19T23:39:16Z","gothenborg","2016-12-19",51,"Pleasure","gothenborg",1
"2416224",59.89081,30.20847,0,297,31,"SAINT PETERSBURG","RU",180,"SEVERNAYA ZEMLYA",7,347415,22,23645,"2016-12-19T20:49:12Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"2838775",59.89656,30.2239,0,353,35,"BERTH 41","VC",150,"BALTIC PRIME",7,468082,22,10742,"2016-12-18T21:01:03Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",1
"1536134",57.60131,11.79466,0,312,511,NA,"SE",10,"CLIPPFJORD",2,327673,4,NA,"2016-12-18T04:31:04Z","gothenborg","2016-12-18",51,"Fishing","gothenborg",1
"2803122",59.91372,30.22985,0,0,82,"RULED","BS",158,"AUTUMN WAVE",7,369043,24,13981,"2016-12-18T06:23:03Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",1
"2143125",59.88357,30.20667,0,28,139,"ST PETERSBURG","GI",174,"TRANSOSPREY",7,206401,22,20396,"2016-12-19T03:19:03Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"3017245",59.87508,30.19469,0,12,316,"RU LED","HK",179,"ZHEN ZHU HAI",7,3542150,30,39746,"2016-12-19T15:27:03Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"2159147",59.91447,30.24528,0,135,86,"SZCZECIN","NL",109,"PITZTAL",7,266600,17,6900,"2016-12-15T01:57:04Z","st_petersburg","2016-12-15",50,"Cargo","St. Petersburg",1
"2473521",59.91386,30.23282,0,25,93,"RU LED","RU",99,"NIMBUS SPB",8,348134,17,7070,"2016-12-16T23:55:04Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"2110516",59.87017,30.21035,0,208,119,"SAINT PETERSBURG","BS",95,"SILVER PEARL",7,182341,17,2607,"2016-12-17T01:39:04Z","st_petersburg","2016-12-17",51,"Cargo","St. Petersburg",1
"639132",54.53162,18.52299,0,235,511,"GDYNIA","VC",32,"SERVAL",3,468665,9,203,"2016-12-16T14:31:07Z","gdynia","2016-12-16",51,"Tug","Gdynia",1
"1787081",55.00157,20.28966,3,351,304,"PIONERSKY","LU",97,"MARIEKE",3,297208,21,8327,"2016-12-18T11:03:02Z","kalingrad","2016-12-18",51,"Tug","Kalingrad",1
"689198",54.52427,18.5592,0,85,85,"GDYNIA","PA",66,"GLOMAR WAVE",6,1037103,14,1321,"2016-12-19T21:27:08Z","gdynia","2016-12-19",51,"Passenger","Gdynia",1
"1545262",57.83104,12.00912,0,356,1,"SURTE","BS",98,"ICELAND CEMENT",7,375446,14,3655,"2016-12-18T11:17:05Z","gothenborg","2016-12-18",51,"Cargo","gothenborg",1
"118334",54.39208,18.7087,0,95,79,"GDANSK","PL",58,"SM PRC 108",3,315820,9,1084,"2016-12-13T23:43:02Z","gdansk","2016-12-13",50,"Tug","Gdańsk",1
"1220024",57.70785,11.65941,0,204,511,"CLASS B","SE",0,"EBBA HARD",9,323258,0,NA,"2016-12-14T18:27:06Z","gothenborg","2016-12-14",50,"Pleasure","gothenborg",1
"2984959",59.8812,30.22835,0,0,511,"KR#-PETESBURG","RU",60,"KEILA",8,2420192,10,1621,"2016-12-19T00:35:04Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"1338820",57.62547,11.80007,45,144,511,"CLASS B","SE",8,"AQUILA",9,324986,4,NA,"2016-12-15T22:49:08Z","gothenborg","2016-12-15",50,"Pleasure","gothenborg",0
"1187762",57.67967,11.80639,96,85,85,"GOTHENBURG","SE",79,"FOX LUNA",8,322954,13,3692,"2016-12-13T12:43:08Z","gothenborg","2016-12-13",50,"Tanker","gothenborg",0
"427528",54.40427,18.6674,0,117,104,"GDANSK","GI",82,"PHANTOM",7,204427,12,4500,"2016-12-19T05:01:07Z","gdynia","2016-12-19",51,"Cargo","Gdynia",1
"2174727",59.86747,30.22349,0,236,125,"ST PETERSBURG","MT",122,"BESIKTAS HALLAND",8,288246,17,7701,"2016-12-13T22:39:03Z","st_petersburg","2016-12-13",50,"Tanker","St. Petersburg",1
"1099597",57.68656,11.88639,0,0,511,"CLASS B","SE",13,"MANDALAY",9,321727,4,NA,"2016-12-20T09:11:05Z","gothenborg","2016-12-20",51,"Pleasure","gothenborg",1
"2345946",59.90622,30.22103,0,0,511,"CLASS B","RU",25,"AKMAL",3,346266,9,124,"2016-12-14T20:53:04Z","st_petersburg","2016-12-14",50,"Tug","St. Petersburg",1
"2410691",59.89079,30.20836,0,302,34,"ST.PETEPSBURG","RU",180,"NOVAYA ZEMLYA",7,347236,22,23645,"2016-12-14T23:43:04Z","st_petersburg","2016-12-14",50,"Cargo","St. Petersburg",1
"1704434",57.64748,11.85728,1,26,511,"CLASS B","SE",12,"SEA BIRD",9,4194704,4,NA,"2016-12-20T05:13:15Z","gothenborg","2016-12-20",51,"Pleasure","gothenborg",1
"2120873",59.88104,30.23214,0,300,95,"ST.PETERSBURG","GI",82,"PHANTOM",7,204427,12,4500,"2016-12-13T11:45:03Z","st_petersburg","2016-12-13",50,"Cargo","St. Petersburg",1
"747923",57.64602,11.85886,0,341,264,"GOTHENBURG","DK",21,"SUPPLIER",3,155138,8,NA,"2016-12-15T09:51:06Z","gothenborg","2016-12-15",50,"Tug","gothenborg",1
"2113540",59.91624,30.02733,80,112,111,"ST.PETERSBURG","FO",88,"VINGAREN",7,182428,13,4748,"2016-12-18T15:01:04Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",0
"281434",54.37479,18.65914,0,34,511,"GDANSK","LR",190,"VICTORIA",7,687226,32,46931,"2016-12-13T15:39:02Z","gdansk","2016-12-13",50,"Cargo","Gdańsk",1
"2451578",59.88531,30.20353,0,0,316,"ST.PETERSBURG VIA KK","RU",99,"MIKHAIL LOMONOSOV",7,347839,16,4805,"2016-12-17T18:27:03Z","st_petersburg","2016-12-17",51,"Cargo","St. Petersburg",1
"39848",54.38028,18.65267,0,203,77,"GDANSK,POLAND","GR",253,"MINERVA ALICE",8,214595,44,114850,"2016-12-16T11:21:01Z","gdansk","2016-12-16",51,"Tanker","Gdańsk",1
"1863844",54.68917,20.38296,0,108,511,"CLASS B","RU",22,"NADEZHDA",3,3532420,6,NA,"2016-12-14T20:13:03Z","kalingrad","2016-12-14",50,"Tug","Kalingrad",1
"1167844",57.68763,11.88835,50,73,511,"CLASS B","SE",9,"NILS",0,322687,2,NA,"2016-12-13T13:59:05Z","gothenborg","2016-12-13",50,"Unspecified","gothenborg",0
"2623534",59.91011,30.22645,0,0,511,"ST.PETERSBURG","RU",110,"GIBRALTAR",3,350211,20,6433,"2016-12-16T07:11:04Z","st_petersburg","2016-12-16",51,"Tug","St. Petersburg",1
"2209130",59.88938,30.20946,0,78,123,NA,"RU",129,"KAPITAN NIKOLAEV",3,345268,26,4836,"2016-12-15T01:25:04Z","st_petersburg","2016-12-15",50,"Tug","St. Petersburg",1
"1551197",57.68805,11.8599,0,136,271,"GOTHENBURG","SG",368,"MOL QUINTET",7,726043,51,150936,"2016-12-15T20:51:05Z","gothenborg","2016-12-15",50,"Cargo","gothenborg",1
"1917579",55.72631,21.09375,1,324,296,"KLAIPEDA","GB",144,"BIRGIT KNUTSEN",8,200327,23,16536,"2016-12-14T11:47:07Z","klaipeda","2016-12-14",50,"Tanker","Klaipeda",1
"189849",54.60003,18.80267,0,0,511,"CLASS B","PL",21,"WLA-67",2,316236,6,NA,"2016-12-18T06:17:01Z","gdansk","2016-12-18",51,"Fishing","Gdańsk",1
"1605766",57.70434,11.93976,1,37,250,NA,"SE",34,"ALVFRIDA",6,2795623,8,NA,"2016-12-19T19:51:05Z","gothenborg","2016-12-19",51,"Passenger","gothenborg",1
"2110093",59.87017,30.21035,0,54,119,"SAINT PETERSBURG","BS",95,"SILVER PEARL",7,182341,17,2607,"2016-12-16T18:37:03Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"1941898",55.65709,21.15702,0,168,280,"KLAIPEDA","LT",83,"GRUMANT",8,352344,14,3153,"2016-12-19T07:29:06Z","klaipeda","2016-12-19",51,"Tanker","Klaipeda",1
"1736394",57.73222,11.67256,0,0,337,"DAM","SE",14,"LAGUN",2,4610570,4,NA,"2016-12-14T17:15:06Z","gothenborg","2016-12-14",50,"Fishing","gothenborg",1
"156107",54.60669,18.76469,72,307,511,"HEL","PL",18,"JAS 39",2,316046,5,NA,"2016-12-19T14:35:02Z","gdansk","2016-12-19",51,"Fishing","Gdańsk",0
"2425534",59.86814,30.22163,0,0,309,"SPB","RU",80,"FREYA",8,347417,13,2959,"2016-12-20T02:23:04Z","st_petersburg","2016-12-20",51,"Tanker","St. Petersburg",1
"2831796",59.90793,30.22353,0,253,30,"PUERTO BOLIVAR","VC",150,"BALTIC PRIME",7,468082,22,10742,"2016-12-13T16:41:05Z","st_petersburg","2016-12-13",50,"Cargo","St. Petersburg",1
"2744451",59.87635,30.22275,0,321,511,"SPB","RU",60,"GOGLAND",8,350976,10,1621,"2016-12-18T18:53:04Z","st_petersburg","2016-12-18",51,"Tanker","St. Petersburg",1
"3047488",59.89247,30.22591,0,83,511,"CLASS B","RU",28,"ZANA",8,3809370,9,NA,"2016-12-13T21:43:04Z","st_petersburg","2016-12-13",50,"Tanker","St. Petersburg",1
"1548674",57.68832,11.85619,1,306,270,"SEGOT","PA",207,"NEWYORKER",7,420754,30,32299,"2016-12-19T10:15:05Z","gothenborg","2016-12-19",51,"Cargo","gothenborg",1
"1567215",57.75784,11.62972,93,134,141,NA,"SE",37,"ULRIKA",6,1085676,9,203,"2016-12-16T05:35:06Z","gothenborg","2016-12-16",51,"Passenger","gothenborg",0
"1249442",57.68141,11.8729,0,273,511,"CLASS B","SE",9,"GG 668 SILVER",2,323609,3,NA,"2016-12-17T12:37:05Z","gothenborg","2016-12-17",51,"Fishing","gothenborg",1
"729616",57.69055,11.88938,0,11,196,"GOTHENBURG","MT",122,"BESIKTAS ICELAND",8,3049,17,7700,"2016-12-14T16:59:08Z","gothenborg","2016-12-14",50,"Tanker","gothenborg",1
"3093337",59.94118,30.25601,4,98,511,"CLASS B","SO",1000,"BLACKPEARL 7.7V",0,4666609,100,NA,"2016-12-16T08:01:04Z","st_petersburg","2016-12-16",51,"Unspecified","St. Petersburg",1
"2564440",59.91181,30.22753,0,151,190,"SPB","RU",77,"DMITRIY RULEVSKIY",8,349912,14,3320,"2016-12-19T17:01:04Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"2042740",55.66634,21.14693,0,224,170,"KLAIPDA","BS",183,"AFRICAN GROUSE",7,3610791,31,37700,"2016-12-18T19:29:06Z","klaipeda","2016-12-18",51,"Cargo","Klaipeda",1
"1010591",57.83049,12.00927,0,197,2,"VAENERN","SE",20,"ALVBJORN",3,321076,6,NA,"2016-12-19T22:25:05Z","gothenborg","2016-12-19",51,"Tug","gothenborg",1
"1069585",57.63734,11.81712,121,185,185,"STYRSOBOLAGET","SE",30,"SILVERTARNAN",6,321599,8,0,"2016-12-16T20:53:05Z","gothenborg","2016-12-16",51,"Passenger","gothenborg",0
"2468989",59.87696,30.22378,0,132,511,"SPB","RU",36,"LOYA",8,348075,8,NA,"2016-12-17T12:23:05Z","st_petersburg","2016-12-17",51,"Tanker","St. Petersburg",1
"341285",54.35759,18.70784,0,0,0,"GDANSK","PL",8,"NATALIA B",9,2208737,3,NA,"2016-12-19T18:05:02Z","gdansk","2016-12-19",51,"Pleasure","Gdańsk",1
"1414350",57.71657,11.95847,0,0,21,"FISHINGGROUND","SE",44,"TORLAND",2,326486,12,0,"2016-12-15T17:49:05Z","gothenborg","2016-12-15",50,"Fishing","gothenborg",1
"3050417",59.88396,30.22574,0,117,511,"CLASS B","RU",28,"ZANA",8,3809370,9,NA,"2016-12-16T07:53:03Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"874033",57.68953,11.86991,0,353,197,"GOTHENBURG","NO",134,"EK-STAR",8,306746,20,13700,"2016-12-20T06:03:05Z","gothenborg","2016-12-20",51,"Tanker","gothenborg",1
"2644201",59.90921,30.22429,0,0,511,"VYBORG","RU",30,"MOSCHNIY",3,350500,8,67,"2016-12-17T11:31:03Z","st_petersburg","2016-12-17",51,"Tug","St. Petersburg",1
"1903838",55.72771,21.09569,0,0,0,"NaN","LT",0,"VTS 2770110",0,24473,0,NA,"2016-12-15T19:59:05Z","klaipeda","2016-12-15",50,"Unspecified","Klaipeda",1
"2338674",59.88272,30.18911,0,0,511,"SPB","RU",83,"ANGARA",8,346219,14,3150,"2016-12-16T09:25:05Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"1809378",54.69007,20.39669,0,0,511,"CLASS B","RU",40,"NEMAN",8,347703,9,NA,"2016-12-19T06:25:04Z","kalingrad","2016-12-19",51,"Tanker","Kalingrad",1
"1003102",57.68169,11.87062,0,260,248,NA,"SE",29,"KBV 048",3,320905,6,0,"2016-12-13T19:55:05Z","gothenborg","2016-12-13",50,"Tug","gothenborg",1
"632373",54.533,18.54214,0,175,234,"PL GDY","PA",199,"SANTA URSULA",7,465205,32,61453,"2016-12-15T22:07:07Z","gdynia","2016-12-15",50,"Cargo","Gdynia",1
"2452172",59.88534,30.20357,0,0,316,"ST.PETERSBURG VIA KK","RU",99,"MIKHAIL LOMONOSOV",7,347839,16,4805,"2016-12-18T04:23:05Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",1
"1424651",57.64477,11.85858,0,58,21,"FISHING","SE",37,"SUNNANLAND",2,326496,10,0,"2016-12-17T15:07:05Z","gothenborg","2016-12-17",51,"Fishing","gothenborg",1
"1874527",54.69076,20.42636,23,29,259,"SANKT-PETERBURG","RU",53,"SPK-49150",3,3975455,23,NA,"2016-12-15T19:17:02Z","kalingrad","2016-12-15",50,"Tug","Kalingrad",0
"1565849",57.74445,11.64198,0,330,163,NA,"SE",37,"ULRIKA",6,1085676,9,203,"2016-12-13T23:59:05Z","gothenborg","2016-12-13",50,"Passenger","gothenborg",1
"1356295",57.71117,11.94927,0,207,199,"CLASS B","SE",19,"BLUE ADVENTURE",9,325070,5,NA,"2016-12-16T07:07:07Z","gothenborg","2016-12-16",51,"Pleasure","gothenborg",1
"1767052",54.95604,20.21148,1,212,150,"BALTIYSK","RU",77,"MERITUS",3,125418,13,2530,"2016-12-15T21:07:03Z","kalingrad","2016-12-15",50,"Tug","Kalingrad",1
"1777298",54.98422,20.36437,0,330,270,"LNG SITE","NL",138,"TIDEWAY ROLLINGSTONE",3,262503,32,14310,"2016-12-17T01:21:03Z","kalingrad","2016-12-17",51,"Tug","Kalingrad",1
"1480416",57.77285,11.61776,0,187,320,NA,"SE",23,"ROSSO",2,326946,6,70,"2016-12-14T22:29:05Z","gothenborg","2016-12-14",50,"Fishing","gothenborg",1
"3036267",59.87417,30.20616,1,0,136,"SAINT-PETERSBURG","RU",119,"MURMANSK",3,3611326,28,5048,"2016-12-19T12:39:03Z","st_petersburg","2016-12-19",51,"Tug","St. Petersburg",1
"1292149",57.77195,11.62105,0,253,511,"CLASS B","SE",9,"SEACURE",3,324465,2,NA,"2016-12-15T20:17:06Z","gothenborg","2016-12-15",50,"Tug","gothenborg",1
"579207",54.73008,18.74678,47,145,137,"GDYNIA","PL",49,"ORP BIELIK",3,317143,6,NA,"2016-12-13T14:59:07Z","gdynia","2016-12-13",50,"Tug","Gdynia",0
"2223457",59.87453,30.20876,0,0,511,"ST.PETERBURG","RU",109,"MIR",9,345293,14,761,"2016-12-18T10:37:04Z","st_petersburg","2016-12-18",51,"Pleasure","St. Petersburg",1
"262900",54.40322,18.67552,1,302,99,"GDANSK","AG",81,"RMS RAHM",7,364258,11,2500,"2016-12-14T20:35:02Z","gdansk","2016-12-14",50,"Cargo","Gdańsk",1
